,lat,lon,count
0,-8.78,115.3,1
1,-8.77,115.25,1
2,-8.74,115.2,1
3,-8.74,115.44,1
4,-8.74,115.61,1
5,-8.71,115.33,1
6,-8.7,115.53,1
7,-8.65,115.48,1
8,-8.59,115.26,1
9,-8.39,115.46,1
10,-8.39,115.5,1
11,-8.38,115.49,1
12,-8.37,115.42,1
13,-8.37,115.47,1
14,-8.37,115.49,1
15,-8.36,115.43,1
16,-8.35,115.44,1
17,-8.35,115.45,1
18,-8.35,115.46,2
19,-8.35,115.47,1
20,-8.35,115.49,1
21,-8.35,115.5,1
22,-8.35,115.52,1
23,-8.35,115.53,1
24,-8.34,115.44,1
25,-8.34,115.45,2
26,-8.34,115.46,3
27,-8.34,115.47,5
28,-8.34,115.49,1
29,-8.34,115.51,1
30,-8.34,115.53,1
31,-8.33,115.43,2
32,-8.33,115.44,2
33,-8.33,115.45,4
34,-8.33,115.46,1
35,-8.33,115.47,8
36,-8.33,115.48,5
37,-8.33,115.49,3
38,-8.33,115.5,1
39,-8.33,115.51,1
40,-8.33,115.52,2
41,-8.32,115.41,3
42,-8.32,115.42,1
43,-8.32,115.43,5
44,-8.32,115.44,5
45,-8.32,115.45,4
46,-8.32,115.46,9
47,-8.32,115.47,11
48,-8.32,115.48,4
49,-8.32,115.49,7
50,-8.32,115.5,5
51,-8.32,115.51,1
52,-8.32,115.54,1
53,-8.31,115.32,1
54,-8.31,115.42,1
55,-8.31,115.43,4
56,-8.31,115.44,7
57,-8.31,115.45,8
58,-8.31,115.46,11
59,-8.31,115.47,14
60,-8.31,115.48,7
61,-8.31,115.49,2
62,-8.31,115.5,5
63,-8.31,115.51,1
64,-8.31,115.52,2
65,-8.31,115.53,1
66,-8.31,115.54,1
67,-8.3,115.37,1
68,-8.3,115.4,1
69,-8.3,115.41,1
70,-8.3,115.42,1
71,-8.3,115.43,3
72,-8.3,115.44,5
73,-8.3,115.45,11
74,-8.3,115.46,13
75,-8.3,115.47,12
76,-8.3,115.48,8
77,-8.3,115.49,9
78,-8.3,115.5,2
79,-8.3,115.51,1
80,-8.3,115.52,1
81,-8.3,115.53,1
82,-8.3,115.56,1
83,-8.3,115.64,1
84,-8.29,115.4,1
85,-8.29,115.41,1
86,-8.29,115.42,3
87,-8.29,115.43,4
88,-8.29,115.44,3
89,-8.29,115.45,15
90,-8.29,115.46,15
91,-8.29,115.47,15
92,-8.29,115.48,9
93,-8.29,115.49,1
94,-8.29,115.5,3
95,-8.29,115.51,1
96,-8.28,115.42,3
97,-8.28,115.43,4
98,-8.28,115.44,4
99,-8.28,115.45,5
100,-8.28,115.46,14
101,-8.28,115.47,4
102,-8.28,115.48,5
103,-8.28,115.49,4
104,-8.28,115.5,1
105,-8.28,115.51,2
106,-8.28,115.53,1
107,-8.28,115.61,1
108,-8.27,115.42,1
109,-8.27,115.44,5
110,-8.27,115.45,4
111,-8.27,115.46,5
112,-8.27,115.47,2
113,-8.27,115.48,1
114,-8.27,115.5,1
115,-8.27,115.56,1
116,-8.26,115.43,1
117,-8.26,115.44,1
118,-8.26,115.45,3
119,-8.26,115.48,1
120,-8.26,115.51,1
121,-8.25,115.51,1
122,-8.25,115.54,1
123,-8.25,115.57,1
124,-8.24,115.48,1
125,-8.23,115.47,1
126,-8.23,115.53,1
127,-8.22,115.4,1
128,-8.22,115.55,1
129,-8.22,115.61,1
130,-8.21,115.51,1
131,-8.21,115.54,1
132,-8.21,115.65,1
133,-8.2,115.37,1
134,-8.2,115.6,1
135,-8.16,115.34,1
136,-8.15,115.51,1
137,-8.14,115.61,1
138,-8.13,115.35,2
139,-8.13,115.4,1
140,-8.12,115.34,2
141,-8.11,115.34,2
142,-8.11,115.35,1
143,-8.11,115.36,1
144,-8.11,115.6,1
145,-8.1,115.31,1
146,-8.1,115.34,1
147,-8.09,115.34,1
148,-8.09,115.44,1
149,-8.04,115.37,1
150,-8.03,115.48,1
